"Y1"	"Y2"	"Y3"	"Y4"	"Y5"	"Y6"	"Y7"	"sex"
"1"	1	1	1	1	1	1	0	"M"
"2"	1	1	1	1	0	0	0	"M"
"3"	1	1	0	0	0	0	0	"M"
"4"	1	1	0	0	0	0	0	"M"
"5"	1	1	0	0	0	0	0	"M"
"6"	1	1	0	0	0	0	0	"M"
"7"	1	0	1	0	0	0	0	"M"
"8"	1	0	0	0	0	0	0	"M"
"9"	1	0	0	0	0	0	0	"M"
"10"	1	0	0	0	0	0	0	"M"
"11"	1	0	0	0	0	0	0	"M"
"12"	1	0	0	0	0	0	0	"M"
"13"	0	1	1	1	1	0	0	"M"
"14"	0	1	1	1	0	0	0	"M"
"15"	0	1	1	0	0	0	0	"M"
"16"	0	1	1	0	0	0	0	"M"
"17"	0	1	1	0	0	0	0	"M"
"18"	0	1	1	0	0	0	0	"M"
"19"	0	1	1	0	0	0	0	"M"
"20"	0	1	1	0	0	0	0	"M"
"21"	0	1	1	0	0	0	0	"M"
"22"	0	1	0	0	0	0	0	"M"
"23"	0	1	0	0	0	0	0	"M"
"24"	0	1	0	0	0	0	0	"M"
"25"	0	1	0	0	0	0	0	"M"
"26"	0	1	0	0	0	0	0	"M"
"27"	0	1	0	0	0	0	0	"M"
"28"	0	1	0	0	0	0	0	"M"
"29"	0	1	0	0	0	0	0	"M"
"30"	0	1	0	0	0	0	0	"M"
"31"	0	1	0	0	0	0	0	"M"
"32"	0	1	0	0	0	0	0	"M"
"33"	0	0	1	1	1	1	0	"M"
"34"	0	0	1	1	1	0	0	"M"
"35"	0	0	1	1	1	0	0	"M"
"36"	0	0	1	1	1	0	0	"M"
"37"	0	0	1	1	1	0	0	"M"
"38"	0	0	1	1	0	0	0	"M"
"39"	0	0	1	1	0	0	0	"M"
"40"	0	0	1	1	0	0	0	"M"
"41"	0	0	1	1	0	0	0	"M"
"42"	0	0	1	1	0	0	0	"M"
"43"	0	0	1	1	0	0	0	"M"
"44"	0	0	1	1	0	0	0	"M"
"45"	0	0	1	1	0	0	0	"M"
"46"	0	0	1	0	1	1	0	"M"
"47"	0	0	1	0	0	0	0	"M"
"48"	0	0	1	0	0	0	0	"M"
"49"	0	0	1	0	0	0	0	"M"
"50"	0	0	1	0	0	0	0	"M"
"51"	0	0	1	0	0	0	0	"M"
"52"	0	0	1	0	0	0	0	"M"
"53"	0	0	1	0	0	0	0	"M"
"54"	0	0	1	0	0	0	0	"M"
"55"	0	0	1	0	0	0	0	"M"
"56"	0	0	1	0	0	0	0	"M"
"57"	0	0	1	0	0	0	0	"M"
"58"	0	0	0	1	1	1	1	"M"
"59"	0	0	0	1	1	1	1	"M"
"60"	0	0	0	1	1	1	1	"M"
"61"	0	0	0	1	1	1	1	"M"
"62"	0	0	0	1	1	1	1	"M"
"63"	0	0	0	1	1	1	1	"M"
"64"	0	0	0	1	1	1	0	"M"
"65"	0	0	0	1	1	1	0	"M"
"66"	0	0	0	1	1	1	0	"M"
"67"	0	0	0	1	1	0	0	"M"
"68"	0	0	0	1	1	0	0	"M"
"69"	0	0	0	1	1	0	0	"M"
"70"	0	0	0	1	1	0	0	"M"
"71"	0	0	0	1	1	0	0	"M"
"72"	0	0	0	1	1	0	0	"M"
"73"	0	0	0	1	0	0	1	"M"
"74"	0	0	0	1	0	0	0	"M"
"75"	0	0	0	1	0	0	0	"M"
"76"	0	0	0	1	0	0	0	"M"
"77"	0	0	0	1	0	0	0	"M"
"78"	0	0	0	1	0	0	0	"M"
"79"	0	0	0	1	0	0	0	"M"
"80"	0	0	0	0	1	1	1	"M"
"81"	0	0	0	0	1	1	1	"M"
"82"	0	0	0	0	1	1	1	"M"
"83"	0	0	0	0	1	1	1	"M"
"84"	0	0	0	0	1	1	1	"M"
"85"	0	0	0	0	1	1	1	"M"
"86"	0	0	0	0	1	1	1	"M"
"87"	0	0	0	0	1	1	1	"M"
"88"	0	0	0	0	1	1	1	"M"
"89"	0	0	0	0	1	1	1	"M"
"90"	0	0	0	0	1	1	0	"M"
"91"	0	0	0	0	1	1	0	"M"
"92"	0	0	0	0	1	1	0	"M"
"93"	0	0	0	0	1	0	0	"M"
"94"	0	0	0	0	1	0	0	"M"
"95"	0	0	0	0	1	0	0	"M"
"96"	0	0	0	0	1	0	0	"M"
"97"	0	0	0	0	1	0	0	"M"
"98"	0	0	0	0	1	0	0	"M"
"99"	0	0	0	0	1	0	0	"M"
"100"	0	0	0	0	1	0	0	"M"
"101"	0	0	0	0	1	0	0	"M"
"102"	0	0	0	0	0	1	1	"M"
"103"	0	0	0	0	0	1	1	"M"
"104"	0	0	0	0	0	1	1	"M"
"105"	0	0	0	0	0	1	1	"M"
"106"	0	0	0	0	0	1	1	"M"
"107"	0	0	0	0	0	1	1	"M"
"108"	0	0	0	0	0	1	1	"M"
"109"	0	0	0	0	0	1	1	"M"
"110"	0	0	0	0	0	1	1	"M"
"111"	0	0	0	0	0	1	1	"M"
"112"	0	0	0	0	0	1	1	"M"
"113"	0	0	0	0	0	1	1	"M"
"114"	0	0	0	0	0	1	0	"M"
"115"	0	0	0	0	0	1	0	"M"
"116"	0	0	0	0	0	1	0	"M"
"117"	0	0	0	0	0	1	0	"M"
"118"	0	0	0	0	0	1	0	"M"
